Postagem,Funcionalidade,Tipo,Sentimento,Intenção,Facetas de Usabilidade,Facetas de UX
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Até agora esta bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mto bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom o app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Bom, eu tento fazer meu registro e toda vez da erro por conta do",Cadastro,Crítica,Neutra,Comportamental,Eficácia,
ajustem isso por favor,,Sugestão,Neutra,Visceral,Utilidade,
App e muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O melhor!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Á última versão está uma droga,,Crítica,Negativa,Visceral,,Frustração
Não consigo a ver o progresso,Progresso,Crítica,Neutra,Reflexiva,Eficácia,
Está travando com frequência,,Crítica,Neutra,Reflexiva,Eficácia,
Vou desinstalar,,Crítica,Negativa,Reflexiva,,Frustração
Muito bom mas sempre pode melhorar,,Elogio; Crítica,Neutra,Reflexiva,Satisfação; Utilidade,Satisfação
Não consigo criar conta nem no celular nem no site pelo pc!!,Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
N csg ligar o Runtastic com esta aplicação,Conectar com outros apps,Crítica,Neutra,Reflexiva,Eficácia,
App muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Estou gostando do app, mais gostaria de ter mais recursos orais",Recursos orais,Elogio; Crítica,Neutra,Reflexiva,Utilidade,
Muito bom me ajuda muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"O aplicativo era ótimo, mas está com problema na função progresso que não permite ver o histórico do peso",Progresso,Crítica,Negativa,Comportamental,Eficácia,
Nota 10!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Há mais de 1 ano tem um bug de não gerar gráficos com os pesos registrados,Gerar gráficos de pesos,Crítica,Neutra,Reflexiva,Eficácia,
Tenho que ir no site para isso,,Crítica,Neutra,Reflexiva,Eficácia,
Ele trava e fecha,,Crítica,Neutra,Reflexiva,Eficácia,
Fora isso está cada dia melhor,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Prático e funcional,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
É fantástica,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou gostando,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Acho que poderia ter um local para adicionar a hora do chá e dos medicamentos que a pessoa está usando,Adicionar hora do chá/remédio,Sugestão,Neutra,Reflexiva,Utilidade,
Excelente! Estou usando todos os dias,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom para quem treina musculação ou calistenia,,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Boa ferramenta para controle de dieta,,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Gostei,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
Ajudando muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
esse é bem completo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
tem praticamente todas as refeições e mostra tudo que vc consumiu durante o dia detalhadamente,Refeições//Diário,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
parabens estou satisfeita com o app,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Quando funciona é um bom aplicativo,,Elogio,Neutra,Reflexiva,Satisfação,Satisfação
"Mas na maior parte do tempo trava!!! A funçao progresso nao funciona!!! É redundante, mas nao há outra forma de dizer!! Melhorem urgente!!! Ja reinstalei varias vezes!!!",Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Fácil de manuseio e ajuda de verdade no emagrecimento!!!,,Elogio,Positiva,Reflexiva,Aprendizado,Motivação
Deveria ter prédeterminado alguns gastos de calorias com relação a em exercício de musculação,Inserir exercício,Sugestão,Neutra,Reflexiva,Utilidade,
Deu muito certo pra mim,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Um dos melhores,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom galera, perfeito pra quem quer secar",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Ótimo programa ! Usado desde pessoas normais para emagrecer ou ganhar peso , até bodybuilders na dieta !",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mto bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O melhor de todos! Já consegui perder 20 quilos com saúde,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Porque não consigo me cadastrar pelo Facebook ou msm pelo email ???,Cadastrar,Dúvida,Neutra,Reflexiva,Aprendizado,
Perfeito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Consigo manter os meus registros,Diário,Elogio,Positiva,Reflexiva,Satisfação/Eficácia,Satisfação
As vezes há falha no envio das informacoes para os app conectados e sincronizados,Sincronizar com outros apps,Crítica,Neutra,Reflexiva,Eficácia,
Recomendo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótima ajuda para quem quer levar uma vida saudável,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom, estar me auxiliando e ajudando bastante a atingir minha meta!",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
vale a pena pra quem quer uma base de quantidades de macronutrientes,Contagem de macrnonutrientes,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
"Não tive problemas, gostei muito do aplicativo!",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação//Afeto
"E bom, auxilia na contagem de macros!!!",Contagem de macronutrientes,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Coloquei todos os email que eu tinha e continua dizendo que são inválidos,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
"Arrumem o problema com a aba ""Progresso""",Progresso,Crítica,Neutra,Reflexiva,Utilidade,
"Sempre que tento acessar, o app para de funcionar e é necessário forçar o encerramento",,Crítica,Neutra,Reflexiva,Eficácia,
MT bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Show,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom app,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Era muito bom antes, mas agora trava o tempo todo!",,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Melhor do que o pago!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom o app para controlar o peso,,Elogio,Positiva,Reflexiva,Utilidade; Satisfação,Satisfação
Tem me ajudado,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
"Muito bom, porém acho que seria legal mais dicas de receitas e dietas no blog",Dicas de receitas/dietas,Elogio/Sugestão,Neutra,Reflexiva,Utilidade,
Muito bom aplicativo!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Eu AMO esse aplicativo! É muito prático e eficiente pra usar!,,Elogio,Positiva,Reflexiva,Eficiência,Afeto
"Não to conseguindo registrar , ta com defeito",Cadastrar,Crítica,Neutra,Reflexiva,Eficácia,
O app poderia dar dicas de como alcançar as metas diárias e sugestões de substituições,Dicas,Sugestão,Neutra,Reflexiva,Utilidade,
"O único diferencial é, realmente, parear os exercícios",Parear exercícios,Crítica/Elogio,Neutra,Reflexiva,Utilidade,
Show,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Maravilindo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Útil motivador e bem planeado,,Elogio,Positiva,Reflexiva,Utilidade,
Gostei muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
Está sendo imensamente útil para atingir meu objetivo,,Elogio,Positiva,Reflexiva,Utilidade,Motivação
Bom gostei super recomendo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação/Afeto
"Muito bom, está me ajudando muito a alcançar meus objetivos",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito Bom!! !,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Melhor aplicativo que existe, vim pelo Caio Bottura",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"o app, porém algumas funcionalidades ainda precisam ser traduzidas para o pt",Idioma,Crítica,Neutra,Reflexiva,Utilidade,
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Me ajudou de mais a atingir meus objetivos, fácil, prático e um dos poucos apps que eu pagaria o premium",,Elogio,Positiva,Reflexiva,Satisfação; Aprendizado,Satisfação; Motivação
Bom add,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Maravilhoso,me ajudou muiiito",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Já faz uns 4 meses que a aba progresso não funciona e nenhuma atualização resolve esse bug,Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Amei a app,,Elogio,Positiva,Visceral,,Afeto
Está travando um pouco,,Crítica,Neutra,Visceral,Eficácia,
Muito bom tem me ajudado muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
excelente app!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom estou adorando,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente App,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou conseguindo bater minhas metas e chegar ao meu objetivo App maravilhoso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Top!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda bem,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Ótimo App,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"APÓS atualizar e pagar o premium, a função progresso trava o app! Nao consigo usar essa função! A tela fica oreta e nao carrega mais nada !",Progresso,Crítica,Neutra,Comportamental,Eficácia,
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom tô conseguindo controlar meu peso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Recomendo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Atendeu muito bem minhas expectativas,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Ótimo, posso controlar as calorias diárias que posso consumir",Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
"Nem sei como é o app, não consegui nem me cadastrar",Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Otimo para controlar sua ingestão calórica!,Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
No modelo básico atende perfeitamente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Otimo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Ótimo aplicativo, ajuda muito, principalmente para as pessoas que não entende muito de dieta",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Maravilhoso!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom, cumpre o que promete",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Um programa que auxilia demais,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom mesmo!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"o app ta com problema , eu nao posso botar minha data de nascimento que da erro",Inserir data de nascimento,Crítica,Neutra,Comportamental,Eficácia,
Serve,,Elogio,Neutra,Visceral,Utilidade,
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom para contagem de calorias e importação dos dados do Runtastic,Contagem de calorias//Conectar com outros apps,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
É um ótimo complemento para quem está seguindo planos de emagrecimento,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Prático e útil,,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"De todos que já instalei, esse é o melhor até agora",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
O problema é esse negócio de pagar para obtermos outras informações,,Crítica,Negativa,Reflexiva,,Frustração
"O app é bom, porém tem muito a melhorar, especialmente em termos de design que já está desatualizado, mas no que se propõem é muito bom",,Crítica/Elogio,Neutra,Reflexiva,Satisfação,Estética; Satisfação
Banco de dados excelente! Ajuda muito a montar as refeições futuras e a contar as refeições que já foram feitas,Banco de dados/Diário,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Só faz falta na versão gratuita mostrar as quantidades de calorias a serem atingidas por refeição,Mostrar meta de calorias por refeições,Crítica/Sugestão,Neutra,Reflexiva,Utilidade,
"Muito bom, ajuda de mais",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Usei esse app durante muito tempo e ele funcionava perfeitamente,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Mas há mais de um mês estou tentando usálo e ele trava na aba ""Progresso""",Progresso,Crítica,Negativa,Reflexiva,Eficácia,
Hoje desinstalei o app e instalei novamente e o problema continua,,Crítica,Negativa,Comportamental,Eficácia,
"Ao lançar meu peso atual, ele vai para a aba Progresso e trava completamente",Atualizar peso,Crítica,Neutra,Comportamental,Eficácia,
"Como já vi muitas pessoas reclamando do mesmo erro e, até agora, parece que não soltaram uma nova atualização para corrigir esse erro, eu infelizmente desisti de usar o app",,Crítica,Negativa,Reflexiva,,Frustração
Serve muito bem ao propósito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Dá pra controlar direitinho as calorias,Contagem de calorias,Elogio,Positiva,Reflexiva,Utilidade,
"O progresso está travado a muito tempo, não destrava nem com as atualizações, no mais só consigo manter o peso quando estou utilizando ele",Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Só precisa acrescentar um pouco na variedade de alimentos fora isso 10/10,Inserir alimento,Elogio; Sugestão,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Gostei, um ótimo app ajuda muito, excelente!",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Ladrão de dados pessoais,,Crítica,Negativa,Reflexiva,Segurança,
Me ajudou muito eu adorei em uma semana ja emagreci 1 k,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
É um App muito bom e prático para o monitoramento de treinos,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Ele é de ótima qualidade, mas, aparentemente não aceita usuários abaixo dos 18 anos, algo bem ruim para os adolescentes que praticam esportes e academia e necessitam de monitoramento sobre",,Elogio/Crítica,Neutra,Reflexiva,Utilidade,
Bom para controlar,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Excelente app , muito prático e fácil de usar",,Elogio,Positiva,Visceral,Satisfação; Aprendizado,Satisfação
Mesmo após as atualizações a função de progresso do peso trava como citado aqui em vários comentários,Progresso,Crítica,Negativa,Reflexiva,Eficácia,
É muito ruin,,Crítica,Negativa,Visceral,,Frustração
"Muito bom, mas não permite trocar as configurações de macro de procentagem de calorias por dia para gramas por quilos nem mesclar se vc é free, mas mt bom, eles tem que ganhar dinheiro de alguma forma hahah",Configurar porcentagem de macroutrientes/calorias//Trocar unidade de medida//Mesclar,Elogio/Crítica,Neutra,Reflexiva,Eficácia,
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Era ótimo, mas agora trava direto",,Crítica,Negativa,Reflexiva,,Frustração
"O aplicativo tem se mostrado muito bom, e espero que as atualizações tragam melhoras sempre, ajudando aqueles que querem controlar a quantidade de alimentos consumidos em suas refeições diárias!",,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor app para controle de calorias,Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Me auxilia muito a manter o peso só tem alegrias com ele otimo ap,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Perfeito!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Só Trava, e é só no meu celular, Moto G3 Turbo? Já desinstalei a maioria dos Apps para ver se não é conflito, mas o problema persiste",,Crítica; Dúvida,Negativa,Comportamental,Eficácia,
Bom,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Excelente aplicativo para contagem e controle de calorias e ainda conta nutrientes e os macros exibindo em números e gráfico! Muito bom mesmo,Contagem de calorias e nutrientes,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Recomendo!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Esse App me ajuda muito para controlar a quantidade de calorias que estou ingerindo por dia,,Elogio,Positiva,Reflexiva,,Motivação
Recomendo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O melhor programa,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Nunca consigo me resgistrar fica dando que não é possível,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
"Muito bom, excelente",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo para dieta flexível onde há o controle dos macros nutrientes,,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Bom,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo aplicativo me ajudou bastante na contagem das calorias super recomendo!!!,Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Otimo aliado na busca por consciência alimentar,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Você atinge seu objetivo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Aprovado!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Excelente programa,,Elogio,Positiva,Visceral,Satisfação,Satisfação
1 mês de uso e estou gostando dos resultados,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
estou adorando,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Já consegui emagrecer por meio do App,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"App excelente, prático e objetivo",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Queria a versão paga mas não trabalho com cartão de crédito, deveria ter outra forma de pagamento",,Sugestão,Neutra,Reflexiva,Utilidade,
O aplicativo deixa a gente bem alerta em relação à alimentação,,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Muito prático,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Boooom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Mesmo após cancelar a assinatura do plano Premium continua me cobrando mensalmente,Cancelar assinatura,Crítica,Negativa,Reflexiva,Eficácia,
Achei muito bom pra acompanhar o peso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
